MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,24]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,25]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,26]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,27]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,28]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,29]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,30]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,31]	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,32]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,33]	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,34]	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,35]	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,36]	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,37]	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,38]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,39]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,40]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,41]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,42]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,43]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,44]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,45]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,46]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	NDC
MirandaBradley03-05-13_Buffering_Capacity.xlsx___BCV___[1,47]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	NDC
