Bos-MacBook-Pro:newCRF bozheng$ crf_learn -f 3 -p 4 templatetest.txt training2.data resultmodel
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data:
Done!9.96 s

Number of sentences: 1
Number of features:  20694
Number of thread(s): 4
Freq:                3
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=70 terr=0.02065 serr=1.00000 act=20694 obj=864.85189 diff=0.03581
iter=71 terr=0.02431 serr=1.00000 act=20694 obj=891.84396 diff=0.03121
iter=72 terr=0.02025 serr=1.00000 act=20694 obj=841.95697 diff=0.05594
iter=73 terr=0.02156 serr=1.00000 act=20694 obj=828.54978 diff=0.01592
iter=74 terr=0.02070 serr=1.00000 act=20694 obj=816.57220 diff=0.01446
iter=75 terr=0.02099 serr=1.00000 act=20694 obj=807.73224 diff=0.01083
iter=76 terr=0.04043 serr=1.00000 act=20694 obj=1675.82390 diff=1.07473
iter=77 terr=0.01996 serr=1.00000 act=20694 obj=803.23533 diff=0.52069
iter=78 terr=0.01919 serr=1.00000 act=20694 obj=780.31929 diff=0.02853
iter=79 terr=0.01827 serr=1.00000 act=20694 obj=747.17290 diff=0.04248
iter=80 terr=0.01945 serr=1.00000 act=20694 obj=754.75542 diff=0.01015
iter=81 terr=0.01676 serr=1.00000 act=20694 obj=721.26788 diff=0.04437
iter=82 terr=0.01876 serr=1.00000 act=20694 obj=710.34500 diff=0.01514
iter=83 terr=0.01670 serr=1.00000 act=20694 obj=703.21243 diff=0.01004
iter=84 terr=0.02468 serr=1.00000 act=20694 obj=673.35733 diff=0.04246
iter=85 terr=0.01664 serr=1.00000 act=20694 obj=654.26679 diff=0.02835
iter=86 terr=0.01590 serr=1.00000 act=20694 obj=645.17994 diff=0.01389
iter=87 terr=0.02868 serr=1.00000 act=20694 obj=804.55787 diff=0.24703
iter=88 terr=0.01856 serr=1.00000 act=20694 obj=635.54560 diff=0.21007
iter=89 terr=0.01870 serr=1.00000 act=20694 obj=624.26169 diff=0.01775
iter=90 terr=0.01873 serr=1.00000 act=20694 obj=604.43603 diff=0.03176
iter=91 terr=0.01833 serr=1.00000 act=20694 obj=593.14381 diff=0.01868
iter=92 terr=0.01544 serr=1.00000 act=20694 obj=575.34936 diff=0.03000
iter=93 terr=0.01510 serr=1.00000 act=20694 obj=568.29721 diff=0.01226
iter=94 terr=0.01327 serr=1.00000 act=20694 obj=554.71967 diff=0.02389
iter=95 terr=0.01301 serr=1.00000 act=20694 obj=551.50575 diff=0.00579
iter=96 terr=0.01290 serr=1.00000 act=20694 obj=545.56024 diff=0.01078
iter=97 terr=0.01464 serr=1.00000 act=20694 obj=538.42253 diff=0.01308
iter=98 terr=0.02817 serr=1.00000 act=20694 obj=749.60820 diff=0.39223
iter=99 terr=0.01567 serr=1.00000 act=20694 obj=535.77712 diff=0.28526
iter=100 terr=0.01759 serr=1.00000 act=20694 obj=546.51656 diff=0.02004
iter=101 terr=0.01601 serr=1.00000 act=20694 obj=534.34089 diff=0.02228
iter=102 terr=0.01450 serr=1.00000 act=20694 obj=522.75756 diff=0.02168
iter=103 terr=0.02362 serr=1.00000 act=20694 obj=813.47372 diff=0.55612
iter=104 terr=0.01578 serr=1.00000 act=20694 obj=509.83088 diff=0.37327
iter=105 terr=0.01776 serr=1.00000 act=20694 obj=509.98478 diff=0.00030
iter=106 terr=0.01547 serr=1.00000 act=20694 obj=508.03648 diff=0.00382
iter=107 terr=0.01436 serr=1.00000 act=20694 obj=496.68142 diff=0.02235
iter=108 terr=0.01101 serr=1.00000 act=20694 obj=492.42378 diff=0.00857
iter=109 terr=0.01355 serr=1.00000 act=20694 obj=489.71017 diff=0.00551
iter=110 terr=0.01404 serr=1.00000 act=20694 obj=486.30059 diff=0.00696
iter=111 terr=0.01298 serr=1.00000 act=20694 obj=485.62539 diff=0.00139
iter=112 terr=0.01150 serr=1.00000 act=20694 obj=483.83961 diff=0.00368
iter=113 terr=0.01115 serr=1.00000 act=20694 obj=482.54729 diff=0.00267
iter=114 terr=0.01324 serr=1.00000 act=20694 obj=476.97658 diff=0.01154
iter=115 terr=0.01341 serr=1.00000 act=20694 obj=472.60668 diff=0.00916
iter=116 terr=0.01330 serr=1.00000 act=20694 obj=470.59046 diff=0.00427
iter=117 terr=0.01330 serr=1.00000 act=20694 obj=469.52979 diff=0.00225
iter=118 terr=0.01310 serr=1.00000 act=20694 obj=467.22749 diff=0.00490
